"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"117","7","1.15","0.3","15","150","true","21","1","87","115"
"116","7","1.15","0.3","15","150","true","21","1","113","128"
"118","7","1.15","0.3","15","150","true","18","1","31","50"
"119","7","1.15","0.3","15","150","true","20","1","58","87"
"121","7","1.15","0.3","15","150","true","19","1","35","43"
"120","7","1.15","0.3","15","150","true","16","1","6","18"
"122","7","1.15","0.3","15","150","true","18","1","37","50"
"125","7","1.15","0.3","15","150","true","16","0","1","0"
"126","7","1.15","0.3","15","150","true","17","1","9","14"
"123","7","1.15","0.3","15","150","true","22","1","116","132"
"124","7","1.15","0.3","15","150","true","22","1","71","99"
"128","7","1.15","0.3","15","150","true","20","1","49","74"
"127","7","1.15","0.3","15","150","true","20","1","60","81"
"130","7","1.15","0.3","15","150","true","20","1","64","91"
"129","7","1.15","0.3","15","150","true","24","1","130","137"
"134","7","1.15","0.3","15","150","true","22","1","119","135"
"136","7","1.15","0.3","15","150","true","16","1","10","21"
"132","7","1.15","0.3","15","150","true","21","1","53","76"
"135","7","1.15","0.3","15","150","true","20","1","55","73"
"133","7","1.15","0.3","15","150","true","21","1","53","71"
"131","7","1.15","0.3","15","150","true","20","0","11","10"
"137","7","1.15","0.3","15","150","true","16","1","7","15"
"138","7","1.15","0.3","15","150","true","21","1","63","76"
"139","7","1.15","0.3","15","150","true","20","1","84","104"
"143","7","1.15","0.3","15","150","true","19","1","36","46"
"145","7","1.15","0.3","15","150","true","17","1","22","35"
"141","7","1.15","0.3","15","150","true","21","1","93","115"
"140","7","1.15","0.3","15","150","true","22","1","88","110"
"142","7","1.15","0.3","15","150","true","21","1","93","112"
"146","7","1.15","0.3","15","150","true","19","1","46","68"
"147","7","1.15","0.3","15","150","true","19","1","53","73"
"144","7","1.15","0.3","15","150","true","22","1","86","111"
"149","7","1.15","0.3","15","150","true","19","1","50","69"
"148","7","1.15","0.3","15","150","true","22","1","122","138"
"150","7","1.15","0.3","15","150","true","20","1","63","95"
"152","7","1.15","0.3","15","150","true","19","1","44","70"
"151","7","1.15","0.3","15","150","true","23","1","129","145"
"154","7","1.15","0.3","15","150","true","21","1","97","123"
"155","7","1.15","0.3","15","150","true","19","1","41","60"
"153","7","1.15","0.3","15","150","true","21","1","93","112"
"157","7","1.15","0.3","15","150","true","21","1","34","52"
"159","7","1.15","0.3","15","150","true","21","1","89","115"
"158","7","1.15","0.3","15","150","true","16","1","9","19"
"156","7","1.15","0.3","15","150","true","21","1","74","110"
"160","7","1.15","0.3","15","150","true","24","1","134","144"
"161","7","1.15","0.3","15","150","true","22","1","110","125"
"163","7","1.15","0.3","15","150","true","19","1","51","69"
"162","7","1.15","0.3","15","150","true","18","1","27","44"
