"BehaviorSpace results (NetLogo 6.0.4)"
"Übung04.nlogo"
"experiment"
"12/10/2018 14:18:36:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","antenna_dB","probing_range","relay-only","sensing_range","total_nodes","start-msg-tick","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"120","7","0.05","true","7","150","13","28","1","149","1308"
"122","7","0.05","true","7","150","13","26","1","145","1407"
"123","7","0.05","true","7","150","13","27","1","148","1327"
"121","7","0.05","true","7","150","13","28","1","148","1414"
"124","7","0.05","true","7","150","13","29","1","148","1340"
"125","7","0.05","true","7","150","13","29","1","139","1179"
"126","7","0.05","true","7","150","13","27","1","147","1348"
"127","7","0.05","true","7","150","13","30","1","147","1495"
"128","7","0.05","true","7","150","13","27","1","150","1386"
"130","7","0.05","true","7","150","13","28","1","146","1271"
"129","7","0.05","true","7","150","13","26","1","146","1359"
"131","7","0.05","true","7","150","13","26","1","147","1307"
"132","7","0.05","true","7","150","13","29","1","147","1429"
"133","7","0.05","true","7","150","13","27","1","140","1317"
"134","7","0.05","true","7","150","13","28","1","147","1295"
"135","7","0.05","true","7","150","13","26","1","147","1354"
"136","7","0.05","true","7","150","13","28","1","147","1546"
"137","7","0.05","true","7","150","13","30","1","150","1312"
"138","7","0.05","true","7","150","13","27","1","149","1489"
"140","7","0.05","true","7","150","13","27","1","150","1278"
"139","7","0.05","true","7","150","13","28","1","150","1400"
"141","7","0.05","true","7","150","13","26","1","146","1435"
"142","7","0.05","true","7","150","13","27","1","148","1277"
"143","7","0.05","true","7","150","13","26","1","149","1341"
"144","7","0.05","true","7","150","13","26","1","150","1412"
"145","7","0.05","true","7","150","13","27","1","149","1321"
"146","7","0.05","true","7","150","13","26","1","145","1427"
"148","7","0.05","true","7","150","13","29","1","149","1352"
"147","7","0.05","true","7","150","13","26","1","148","1331"
"149","7","0.05","true","7","150","13","27","1","145","1235"
"151","7","0.05","true","7","150","13","26","1","148","1407"
"150","7","0.05","true","7","150","13","27","1","150","1334"
"152","7","0.05","true","7","150","13","28","1","148","1398"
"153","7","0.05","true","7","150","13","25","1","143","1264"
"154","7","0.05","true","7","150","13","28","1","149","1348"
"155","7","0.05","true","7","150","13","27","1","146","1299"
"156","7","0.05","true","7","150","13","31","1","146","1276"
"159","7","0.05","true","7","150","13","17","0","7","39"
"157","7","0.05","true","7","150","13","28","1","150","1338"
"158","7","0.05","true","7","150","13","27","1","150","1508"
"160","7","0.05","true","7","150","13","27","1","150","1426"
"162","7","0.05","true","7","150","13","17","0","6","28"
"161","7","0.05","true","7","150","13","26","1","149","1314"
"163","7","0.05","true","7","150","13","27","1","148","1348"
"164","7","0.05","true","7","150","13","27","1","149","1306"
"165","7","0.05","true","7","150","13","28","1","148","1345"
"166","7","0.05","true","7","150","13","26","1","147","1313"
"167","7","0.05","true","7","150","13","26","1","146","1320"
"168","7","0.05","true","7","150","13","26","1","146","1268"
"169","7","0.05","true","7","150","13","26","1","149","1427"
"171","7","0.05","true","7","150","13","25","1","148","1316"
"170","7","0.05","true","7","150","13","35","1","148","1257"
"172","7","0.05","true","7","150","13","26","1","150","1326"
"173","7","0.05","true","7","150","13","28","1","148","1307"
"175","7","0.05","true","7","150","13","27","1","149","1415"
"176","7","0.05","true","7","150","13","26","1","149","1326"
"174","7","0.05","true","7","150","13","26","1","148","1281"
"177","7","0.05","true","7","150","13","27","1","146","1339"
"179","7","0.05","true","7","150","13","26","1","146","1390"
"180","7","0.05","true","7","150","13","27","1","146","1318"
"178","7","0.05","true","7","150","13","34","1","150","1338"
"181","7","0.05","true","7","150","13","28","1","149","1299"
"183","7","0.05","true","7","150","13","26","1","148","1359"
"182","7","0.05","true","7","150","13","27","1","150","1378"
"184","7","0.05","true","7","150","13","25","1","149","1417"
"185","7","0.05","true","7","150","13","27","1","148","1373"
"187","7","0.05","true","7","150","13","28","1","150","1302"
"186","7","0.05","true","7","150","13","27","1","147","1347"
"188","7","0.05","true","7","150","13","26","1","149","1347"
"191","7","0.05","true","7","150","13","15","0","2","6"
"190","7","0.05","true","7","150","13","29","1","150","1360"
"189","7","0.05","true","7","150","13","28","1","147","1384"
"192","7","0.05","true","7","150","13","31","1","146","1270"
"193","7","0.05","true","7","150","13","26","1","149","1468"
"194","7","0.05","true","7","150","13","26","1","150","1418"
"195","7","0.05","true","7","150","13","27","1","148","1333"
"196","7","0.05","true","7","150","13","27","1","145","1361"
"197","7","0.05","true","7","150","13","26","1","148","1269"
"199","7","0.05","true","7","150","13","27","1","149","1338"
"198","7","0.05","true","7","150","13","29","1","147","1263"
"200","7","0.05","true","7","150","13","26","1","150","1356"
"201","7","0.1","true","7","150","13","30","1","143","1363"
"202","7","0.1","true","7","150","13","16","0","2","4"
"205","7","0.1","true","7","150","13","16","0","5","25"
"203","7","0.1","true","7","150","13","27","1","145","1304"
"204","7","0.1","true","7","150","13","26","1","142","1414"
"206","7","0.1","true","7","150","13","26","1","145","1275"
"207","7","0.1","true","7","150","13","28","1","140","1214"
"208","7","0.1","true","7","150","13","26","1","139","1169"
"209","7","0.1","true","7","150","13","26","1","142","1284"
"210","7","0.1","true","7","150","13","28","1","142","1284"
"211","7","0.1","true","7","150","13","25","1","141","1277"
"212","7","0.1","true","7","150","13","27","1","144","1366"
"213","7","0.1","true","7","150","13","26","1","140","1289"
"215","7","0.1","true","7","150","13","28","1","146","1356"
"214","7","0.1","true","7","150","13","29","1","142","1232"
"216","7","0.1","true","7","150","13","28","1","145","1247"
"217","7","0.1","true","7","150","13","28","1","141","1234"
"218","7","0.1","true","7","150","13","26","1","142","1370"
"219","7","0.1","true","7","150","13","26","1","146","1359"
"220","7","0.1","true","7","150","13","26","1","141","1250"
"221","7","0.1","true","7","150","13","29","1","141","1251"
"222","7","0.1","true","7","150","13","26","0","123","1185"
"223","7","0.1","true","7","150","13","25","1","139","1398"
"224","7","0.1","true","7","150","13","26","1","145","1335"
"225","7","0.1","true","7","150","13","26","1","142","1212"
"228","7","0.1","true","7","150","13","27","1","137","1372"
"226","7","0.1","true","7","150","13","28","1","140","1308"
"229","7","0.1","true","7","150","13","27","1","145","1294"
"227","7","0.1","true","7","150","13","30","1","143","1263"
"230","7","0.1","true","7","150","13","27","1","129","1163"
"231","7","0.1","true","7","150","13","27","1","146","1257"
"232","7","0.1","true","7","150","13","27","1","145","1279"
"233","7","0.1","true","7","150","13","27","1","146","1243"
"234","7","0.1","true","7","150","13","26","1","145","1335"
"235","7","0.1","true","7","150","13","26","1","140","1366"
"237","7","0.1","true","7","150","13","26","1","139","1262"
"236","7","0.1","true","7","150","13","26","1","144","1228"
"239","7","0.1","true","7","150","13","27","1","145","1314"
"241","7","0.1","true","7","150","13","27","1","148","1278"
"238","7","0.1","true","7","150","13","25","1","147","1271"
"240","7","0.1","true","7","150","13","30","1","142","1257"
"242","7","0.1","true","7","150","13","26","0","142","1307"
"243","7","0.1","true","7","150","13","26","0","138","1339"
"244","7","0.1","true","7","150","13","27","1","144","1304"
"245","7","0.1","true","7","150","13","27","1","143","1359"
"247","7","0.1","true","7","150","13","29","1","144","1281"
"248","7","0.1","true","7","150","13","27","1","146","1250"
"246","7","0.1","true","7","150","13","27","1","145","1309"
"249","7","0.1","true","7","150","13","28","1","144","1269"
"250","7","0.1","true","7","150","13","27","1","146","1236"
"251","7","0.1","true","7","150","13","27","1","140","1321"
"252","7","0.1","true","7","150","13","26","1","147","1352"
"253","7","0.1","true","7","150","13","25","1","145","1419"
"254","7","0.1","true","7","150","13","27","1","143","1236"
"255","7","0.1","true","7","150","13","26","1","144","1209"
"256","7","0.1","true","7","150","13","26","1","144","1257"
"257","7","0.1","true","7","150","13","27","1","143","1269"
"260","7","0.1","true","7","150","13","26","1","146","1203"
"258","7","0.1","true","7","150","13","27","1","145","1196"
"259","7","0.1","true","7","150","13","29","1","142","1227"
"262","7","0.1","true","7","150","13","17","0","12","110"
"261","7","0.1","true","7","150","13","26","1","143","1235"
"263","7","0.1","true","7","150","13","26","1","141","1238"
"264","7","0.1","true","7","150","13","26","1","141","1255"
"265","7","0.1","true","7","150","13","27","1","142","1324"
"266","7","0.1","true","7","150","13","27","1","143","1266"
"267","7","0.1","true","7","150","13","27","1","145","1296"
"268","7","0.1","true","7","150","13","26","1","140","1247"
"269","7","0.1","true","7","150","13","26","1","139","1318"
"270","7","0.1","true","7","150","13","26","1","135","1196"
"272","7","0.1","true","7","150","13","26","1","148","1372"
"271","7","0.1","true","7","150","13","28","1","137","1278"
"274","7","0.1","true","7","150","13","18","0","6","26"
"273","7","0.1","true","7","150","13","27","1","145","1309"
"275","7","0.1","true","7","150","13","27","1","146","1442"
"276","7","0.1","true","7","150","13","27","1","143","1241"
"278","7","0.1","true","7","150","13","27","1","139","1386"
"277","7","0.1","true","7","150","13","28","1","145","1339"
"279","7","0.1","true","7","150","13","28","1","143","1296"
"280","7","0.1","true","7","150","13","27","1","143","1317"
"281","7","0.1","true","7","150","13","26","1","140","1329"
"282","7","0.1","true","7","150","13","27","1","138","1306"
"283","7","0.1","true","7","150","13","34","1","142","1364"
"284","7","0.1","true","7","150","13","29","1","146","1326"
"285","7","0.1","true","7","150","13","33","1","144","1298"
"286","7","0.1","true","7","150","13","27","1","141","1259"
"287","7","0.1","true","7","150","13","25","1","147","1366"
"288","7","0.1","true","7","150","13","28","1","132","1273"
"289","7","0.1","true","7","150","13","27","1","145","1234"
"290","7","0.1","true","7","150","13","27","1","128","1148"
"292","7","0.1","true","7","150","13","27","0","143","1331"
"291","7","0.1","true","7","150","13","27","1","142","1243"
"293","7","0.1","true","7","150","13","28","1","131","1186"
"294","7","0.1","true","7","150","13","28","1","142","1188"
"295","7","0.1","true","7","150","13","27","1","140","1353"
"296","7","0.1","true","7","150","13","26","1","140","1270"
"298","7","0.1","true","7","150","13","14","0","1","1"
"297","7","0.1","true","7","150","13","27","1","135","1171"
"299","7","0.1","true","7","150","13","28","1","147","1290"
"300","7","0.1","true","7","150","13","29","1","148","1273"
"301","7","0.15","true","7","150","13","27","1","141","1228"
"302","7","0.15","true","7","150","13","28","1","132","1226"
"304","7","0.15","true","7","150","13","29","1","134","1258"
"303","7","0.15","true","7","150","13","28","1","141","1274"
"305","7","0.15","true","7","150","13","27","1","141","1246"
"306","7","0.15","true","7","150","13","27","1","136","1293"
"307","7","0.15","true","7","150","13","25","1","125","1190"
"308","7","0.15","true","7","150","13","29","1","133","1103"
"309","7","0.15","true","7","150","13","28","1","136","1321"
"310","7","0.15","true","7","150","13","25","1","141","1414"
"311","7","0.15","true","7","150","13","26","1","130","1197"
"312","7","0.15","true","7","150","13","27","1","134","1219"
"313","7","0.15","true","7","150","13","26","1","138","1226"
"314","7","0.15","true","7","150","13","28","1","127","1188"
"315","7","0.15","true","7","150","13","27","1","130","1174"
"316","7","0.15","true","7","150","13","27","1","137","1209"
"317","7","0.15","true","7","150","13","27","1","139","1232"
"318","7","0.15","true","7","150","13","28","1","137","1230"
"319","7","0.15","true","7","150","13","28","1","138","1262"
"321","7","0.15","true","7","150","13","14","0","1","1"
"322","7","0.15","true","7","150","13","26","1","139","1210"
"320","7","0.15","true","7","150","13","26","1","131","1241"
"324","7","0.15","true","7","150","13","27","1","139","1256"
"323","7","0.15","true","7","150","13","27","1","136","1203"
"326","7","0.15","true","7","150","13","28","1","137","1234"
"325","7","0.15","true","7","150","13","26","1","135","1398"
"328","7","0.15","true","7","150","13","26","1","138","1243"
"329","7","0.15","true","7","150","13","25","1","127","1205"
"327","7","0.15","true","7","150","13","27","1","138","1171"
"330","7","0.15","true","7","150","13","26","1","134","1195"
"332","7","0.15","true","7","150","13","14","0","1","1"
"333","7","0.15","true","7","150","13","26","1","142","1293"
"331","7","0.15","true","7","150","13","27","1","132","1108"
"334","7","0.15","true","7","150","13","28","1","136","1243"
"335","7","0.15","true","7","150","13","24","1","127","1234"
"336","7","0.15","true","7","150","13","29","1","136","1252"
"337","7","0.15","true","7","150","13","27","0","123","1136"
"339","7","0.15","true","7","150","13","27","1","135","1213"
"338","7","0.15","true","7","150","13","26","1","138","1254"
"341","7","0.15","true","7","150","13","27","1","136","1172"
"342","7","0.15","true","7","150","13","27","1","136","1203"
"340","7","0.15","true","7","150","13","27","1","140","1221"
"343","7","0.15","true","7","150","13","27","1","139","1262"
"345","7","0.15","true","7","150","13","17","0","8","38"
"344","7","0.15","true","7","150","13","27","1","131","1237"
"348","7","0.15","true","7","150","13","26","1","129","1181"
"349","7","0.15","true","7","150","13","27","1","136","1269"
"347","7","0.15","true","7","150","13","28","1","133","1176"
"346","7","0.15","true","7","150","13","27","1","137","1298"
"351","7","0.15","true","7","150","13","28","1","137","1201"
"352","7","0.15","true","7","150","13","26","1","132","1262"
"350","7","0.15","true","7","150","13","26","1","136","1279"
"353","7","0.15","true","7","150","13","26","1","140","1240"
"354","7","0.15","true","7","150","13","27","1","134","1249"
"355","7","0.15","true","7","150","13","27","1","128","1274"
"356","7","0.15","true","7","150","13","28","1","139","1186"
"357","7","0.15","true","7","150","13","14","0","1","1"
"359","7","0.15","true","7","150","13","26","1","135","1231"
"358","7","0.15","true","7","150","13","26","1","135","1215"
"360","7","0.15","true","7","150","13","26","1","136","1208"
"361","7","0.15","true","7","150","13","26","1","134","1191"
"362","7","0.15","true","7","150","13","27","1","139","1272"
"363","7","0.15","true","7","150","13","29","1","137","1252"
"364","7","0.15","true","7","150","13","30","1","134","1211"
"367","7","0.15","true","7","150","13","32","1","129","1198"
"366","7","0.15","true","7","150","13","26","1","138","1187"
"365","7","0.15","true","7","150","13","28","1","130","1204"
"368","7","0.15","true","7","150","13","27","1","136","1230"
"370","7","0.15","true","7","150","13","28","1","137","1278"
"369","7","0.15","true","7","150","13","27","1","136","1250"
"372","7","0.15","true","7","150","13","27","1","132","1216"
"374","7","0.15","true","7","150","13","26","1","140","1273"
"371","7","0.15","true","7","150","13","30","1","138","1216"
"373","7","0.15","true","7","150","13","26","1","140","1261"
"376","7","0.15","true","7","150","13","27","1","134","1237"
"375","7","0.15","true","7","150","13","24","1","136","1284"
"378","7","0.15","true","7","150","13","28","1","137","1332"
